,Market,HML,SMB,WML,IML
2001-12-31,-0.1472537218344635,0.2638312964826477,0.09184758214847011,-0.052005664688929865,0.23211141307905891
2002-12-31,-0.12797891741559764,0.11234405233940081,-0.10634659450585449,0.6757065023007605,0.23841612500280163
2003-12-31,0.41101676297581125,0.20835195392058137,0.43752988094804546,-0.08287724327870782,0.1358422519317195
2004-12-31,0.0956782511382337,0.15249505556326381,0.03382942531980526,0.345386782425088,-0.017218422100908848
2005-12-31,0.12049222520258396,0.04735564651122748,0.05017019712949189,-0.005328855846188141,-0.06152617160481111
2006-12-31,0.15172104075310533,-0.010068721527365265,0.06376639561178332,-0.028324478700289535,0.02952263789579268
2007-12-31,0.27805089495541235,0.27336479438220085,-0.07108050629670337,0.228476497228002,-0.10327383604007512
2008-12-31,-0.4557574395675543,0.3446512221359441,-0.4239075891691312,0.2782038615435036,-0.22200790631952094
2009-12-31,0.5890725695587897,-0.10037750787086575,0.574533566015055,-0.38688373320766656,0.26045509574979286
2010-12-31,-0.03705283443779861,-0.07503374918169059,0.11886953666298661,0.18226225968812892,0.09998261728798852
2011-12-31,-0.16734374554168707,-0.0420129197105078,-0.12493669382096106,0.43835591524115314,-0.0406606105158841
2012-12-31,0.04545621385597687,-0.06367546808580893,0.20090565666772586,0.14223084524149532,0.13479813031412946
2013-12-31,-0.0988770054038417,-0.05700689289450911,-0.22583953923481193,0.24997364267968591,-0.13895053796546664
2014-12-31,-0.12620700137343654,-0.2744548206673726,-0.32275487734241837,0.42763313143132,-0.3367690899506245
2015-12-31,-0.22021292603616116,-0.13491067657089928,-0.36944482099709997,0.6495639169621539,-0.315036219777328
2016-12-31,0.19318076384579497,0.2813598391318106,0.16436614444773334,-0.367652488245757,0.0002559404381101693
2017-12-31,0.1629963247871813,0.15153647133292525,0.358928023797374,0.21190534140679484,0.40661005719314147
2018-12-31,0.04651413586131148,0.2589324078293076,-0.09607339908666557,0.0734068901627285,-0.07747975598429979
2019-12-31,0.27534118366689087,0.09801841481313756,0.10676785137699274,0.1673416772170886,0.31423618057898794
2020-12-31,0.011573621477003027,-0.10890924851609263,-0.09492523731162483,0.1617590795269579,-0.10466872498635171
2021-12-31,-0.023912545490202497,-0.009270053949488655,-0.03143105942982283,0.11531903417306566,0.04136505260373724
